Tamanho da entrada,Comparisons (Selection Sort),Swaps (Selection Sort),Time (Selection Sort),Comparisons (Insertion Sort),Swaps (Insertion Sort),Time (Insertion Sort),Comparisons (Quick Sort),Swaps (Quick Sort),Time (Quick Sort),Comparisons (Merge Sort),Swaps (Merge Sort),Time (Merge Sort),Comparisons (Heap Sort),Swaps (Heap Sort),Time (Heap Sort),Comparisons (Shell Sort),Swaps (Shell Sort),Time (Shell Sort)
10000,49995000.0,10000.0,1.680790384610494,25036479.966666665,9999.0,1.376984429359436,155583.86666666667,83624.2,0.010900012652079264,120442.56666666667,133616.0,0.014966924985249838,166357.13333333333,124178.83333333333,0.023467214902242024,151759.1,120005.0,0.01833328406016032
30000,449985000.0,30000.0,19.039899897575378,225009466.5,29999.0,14.13169428507487,533898.0333333333,286104.1666666667,0.04183343251546224,408588.6,447232.0,0.05526690483093262,570703.0333333333,419880.9666666667,0.09136638641357422,580581.7,390007.0,0.07585043907165527
50000,799980000.0,40000.0,31.581364210446676,399906896.8,39999.0,24.074141470591226,744661.1333333333,401528.3333333333,0.05489970048268636,561807.3666666667,614464.0,0.07236687342325847,785497.6333333333,576769.7333333333,0.11874461968739827,890006.4666666667,560005.0,0.1078509012858073
